Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)	Number Density	Pressure
0.00997765	2.47349	14840.9	-31762.8	43.905	108.611
0.109754	2.47636	14858.2	-31599.3	43.905	108.74
0.209531	2.45344	14720.7	-31192.5	43.905	107.739
0.309307	2.41937	14516.2	-30521.5	43.905	106.249
0.409084	2.37834	14270	-29555.7	43.905	104.457
0.50886	2.33184	13991	-28263.4	43.905	102.426
0.608637	2.28262	13695.7	-26633	43.905	100.279
0.708413	2.23786	13427.1	-24712.8	43.905	98.329
0.80819	2.21006	13260.4	-22650.9	43.905	97.1247
0.907966	2.21187	13271.2	-20684.9	43.905	97.2187
1.00774	2.24679	13480.8	-19052.5	43.905	98.7635
1.10752	2.30519	13831.2	-17887.5	43.905	101.335
1.2073	2.36964	14217.8	-17179.4	43.905	104.168
1.30707	2.42422	14545.3	-16811.6	43.905	106.565
1.40685	2.46085	14765.1	-16635.2	43.905	108.173
1.50663	2.47959	14877.5	-16527.9	43.905	108.995
1.6064	2.48509	14910.6	-16414.3	43.905	109.235
1.70618	2.48323	14899.4	-16262.9	43.905	109.154
1.80596	2.47887	14873.2	-16072.9	43.905	108.963
1.90573	2.47487	14849.2	-15856.4	43.905	108.788
2.00551	2.47254	14835.3	-15629	43.905	108.687
2.10528	2.47194	14831.6	-15403	43.905	108.661
2.20506	2.47259	14835.5	-15185.3	43.905	108.691
2.30484	2.47461	14847.7	-14984.9	43.905	108.781
2.40461	2.47857	14871.4	-14816.4	43.905	108.956
2.50439	2.48477	14908.6	-14695.9	43.905	109.229
2.60417	2.49236	14954.2	-14630.9	43.905	109.562
2.70394	2.49889	14993.3	-14607.8	43.905	109.848
2.80372	2.50246	15014.7	-14599.7	43.905	110.004
2.9035	2.50443	15026.6	-14598.5	43.905	110.091
3.00327	2.5072	15043.2	-14617.1	43.905	110.213
3.10305	2.51118	15067.1	-14666.4	43.905	110.387
3.20283	2.51486	15089.2	-14740.2	43.905	110.549
3.3026	2.51694	15101.6	-14823.3	43.905	110.639
3.40238	2.5171	15102.6	-14901.8	43.905	110.646
3.50216	2.5157	15094.2	-14965.9	43.905	110.583
3.60193	2.51347	15080.8	-15012.3	43.905	110.485
3.70171	2.51106	15066.3	-15041.8	43.905	110.378
3.80149	2.50873	15052.4	-15056.1	43.905	110.276
3.90126	2.50701	15042.1	-15060.2	43.905	110.201
4.00104	2.50676	15040.6	-15066.7	43.905	110.19
4.10082	2.50818	15049.1	-15087.8	43.905	110.252
4.20059	2.5107	15064.2	-15129.4	43.905	110.362
4.30037	2.51331	15079.9	-15189.3	43.905	110.476
4.40015	2.51477	15088.6	-15256.2	43.905	110.54
4.49992	2.51471	15088.3	-15317.7	43.905	110.537
4.5997	2.51403	15084.2	-15372.2	43.905	110.507
4.69947	2.51366	15082	-15425	43.905	110.491
4.79925	2.51372	15082.3	-15479.5	43.905	110.493
4.89903	2.51368	15082.1	-15533.8	43.905	110.491
