Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)	Number Density	Pressure
0.00997765	2.36424	14185.5	-29555.7	43.905	103.838
2.10528	1.17393	7043.56	-23549.9	43.905	51.6154
0.109754	2.15341	12920.4	-28290.7	43.905	94.5917
2.20506	1.16225	6973.5	-23479.8	43.905	51.1033
0.209531	1.90176	11410.6	-26780.8	43.905	83.5561
2.30484	1.15254	6915.23	-23421.6	43.905	50.6772
0.309307	1.62951	9777.05	-25147.1	43.905	71.616
2.40461	1.14672	6880.33	-23386.7	43.905	50.4219
0.409084	1.36995	8219.73	-23589.7	43.905	60.2324
2.50439	1.14589	6875.31	-23381.7	43.905	50.3851
0.50886	1.15924	6955.43	-22325.3	43.905	50.9898
2.60417	1.15014	6900.86	-23407.2	43.905	50.5721
0.608637	1.02077	6124.61	-21494.4	43.905	44.916
2.70394	1.15874	6952.42	-23458.8	43.905	50.9491
0.708413	0.957709	5746.25	-21116.1	43.905	42.149
2.80372	1.17034	7022.05	-23528.4	43.905	51.4579
0.80819	0.956926	5741.56	-21111.5	43.905	42.1131
2.9035	1.18353	7101.19	-23607.5	43.905	52.0366
0.907966	0.997773	5986.64	-21356.7	43.905	43.9028
3.00327	1.19728	7183.69	-23690	43.905	52.6403
1.00774	1.05958	6357.51	-21727.6	43.905	46.6124
3.10305	1.21124	7267.43	-23773.8	43.905	53.2526
1.10752	1.12583	6754.97	-22125.1	43.905	49.5171
3.20283	1.22565	7353.9	-23860.2	43.905	53.8849
1.2073	1.18537	7112.24	-22482.4	43.905	52.1276
3.3026	1.24091	7445.49	-23951.8	43.905	54.5548
1.30707	1.23211	7392.69	-22762.8	43.905	54.1773
3.40238	1.25705	7542.32	-24048.7	43.905	55.2625
1.40685	1.26395	7583.69	-22953.8	43.905	55.5728
3.50216	1.27352	7641.09	-24147.4	43.905	55.9846
1.50663	1.28152	7689.12	-23059.2	43.905	56.3433
3.60193	1.28943	7736.58	-24242.9	43.905	56.6822
1.6064	1.28701	7722.07	-23092.2	43.905	56.584
3.70171	1.30387	7823.2	-24329.6	43.905	57.3156
1.70618	1.28332	7699.9	-23070	43.905	56.4215
3.80149	1.316	7896	-24402.4	43.905	57.8479
1.80596	1.27364	7641.81	-23011.9	43.905	55.9969
3.90126	1.32527	7951.6	-24458	43.905	58.2542
1.90573	1.26114	7566.85	-22936.9	43.905	55.4488
4.00104	1.33147	7988.85	-24495.2	43.905	58.5264
2.00551	1.24877	7492.61	-22862.7	43.905	54.9062
4.10082	1.33479	8008.71	-24515.1	43.905	58.6714
2.10528	1.23907	7434.42	-22804.5	43.905	54.4808
4.20059	1.33563	8013.8	-24520.2	43.905	58.7085
2.20506	1.23396	7403.73	-22773.8	43.905	54.2562
4.30037	1.33461	8007.68	-24514	43.905	58.6639
2.30484	1.23434	7406.05	-22776.1	43.905	54.273
4.40015	1.33232	7993.94	-24500.3	43.905	58.5635
2.40461	1.24005	7440.3	-22810.4	43.905	54.5236
4.49992	1.32924	7975.46	-24481.8	43.905	58.4287
2.50439	1.24997	7499.81	-22869.9	43.905	54.9585
4.5997	1.3257	7954.21	-24460.6	43.905	58.2735
2.60417	1.26246	7574.75	-22944.8	43.905	55.5062
4.69947	1.32194	7931.66	-24438	43.905	58.1089
2.70394	1.27599	7655.95	-23026	43.905	56.1001
4.79925	1.31812	7908.74	-24415.1	43.905	57.9413
2.80372	1.28971	7738.27	-23108.4	43.905	56.7025
4.89903	1.31429	7885.77	-24392.1	43.905	57.7737
2.9035	1.30358	7821.48	-23191.6	43.905	57.3109
4.9988	1.31052	7863.1	-24369.5	43.905	57.6082
3.00327	1.31811	7908.67	-23278.7	43.905	57.9487
5.09858	1.30703	7842.16	-24348.5	43.905	57.455
3.10305	1.33376	8002.57	-23372.6	43.905	58.6355
5.19836	1.30427	7825.6	-24331.9	43.905	57.3337
3.20283	1.35038	8102.3	-23472.4	43.905	59.3643
5.29813	1.30272	7816.35	-24322.7	43.905	57.2663
3.3026	1.36724	8203.44	-23573.5	43.905	60.1035
5.39791	1.30274	7816.44	-24322.8	43.905	57.267
3.40238	1.38335	8300.07	-23670.2	43.905	60.8096
5.49769	1.3044	7826.43	-24332.8	43.905	57.3397
3.50216	1.39769	8386.13	-23756.2	43.905	61.4388
5.59746	1.30757	7845.45	-24351.8	43.905	57.4785
3.60193	1.40939	8456.34	-23826.4	43.905	61.9521
5.69724	1.31188	7871.3	-24377.7	43.905	57.6675
3.70171	1.41793	8507.59	-23877.7	43.905	62.3268
3.80149	1.42327	8539.59	-23909.7	43.905	62.5608
5.79702	1.3168	7900.77	-24407.1	43.905	57.8832
3.90126	1.42577	8554.59	-23924.7	43.905	62.67
5.89679	1.32176	7930.58	-24436.9	43.905	58.101
4.00104	1.42606	8556.38	-23926.5	43.905	62.6832
5.99657	1.32633	7958	-24464.4	43.905	58.3012
4.10082	1.42486	8549.18	-23919.3	43.905	62.6306
6.09635	1.33013	7980.77	-24487.1	43.905	58.4676
4.20059	1.42278	8536.66	-23906.7	43.905	62.5394
6.19612	1.33283	7996.97	-24503.3	43.905	58.5859
4.30037	1.42023	8521.35	-23891.4	43.905	62.4276
6.2959	1.33417	8005	-24511.4	43.905	58.6447
4.40015	1.41746	8504.74	-23874.8	43.905	62.3061
6.39568	1.33396	8003.75	-24510.1	43.905	58.6357
4.49992	1.41458	8487.48	-23857.6	43.905	62.1802
6.49545	1.33217	7993	-24499.4	43.905	58.5571
4.5997	1.41157	8469.43	-23839.5	43.905	62.0485
6.59523	1.32906	7974.34	-24480.7	43.905	58.4205
4.69947	1.40834	8450.02	-23820.1	43.905	61.9068
6.69501	1.32528	7951.66	-24458	43.905	58.2547
4.79925	1.40495	8429.69	-23799.8	43.905	61.7582
6.79478	1.32183	7930.97	-24437.3	43.905	58.1033
4.89903	1.40183	8410.97	-23781.1	43.905	61.6212
6.89456	1.31976	7918.59	-24424.9	43.905	58.0129
4.9988	1.39958	8397.48	-23767.5	43.905	61.5225
6.99434	1.31974	7918.47	-24424.8	43.905	58.0121
5.09858	1.39866	8391.95	-23762	43.905	61.4821
7.09411	1.32175	7930.48	-24436.8	43.905	58.0996
5.19836	1.39925	8395.47	-23765.5	43.905	61.508
7.19389	1.32525	7951.53	-24457.9	43.905	58.2541
5.29813	1.40132	8407.93	-23778	43.905	61.5987
7.29366	1.32964	7977.83	-24484.2	43.905	58.4464
5.39791	1.40468	8428.09	-23798.2	43.905	61.746
5.49769	1.40892	8453.49	-23823.6	43.905	61.9317
7.39344	1.33428	8005.7	-24512.1	43.905	58.6504
5.59746	1.41355	8481.29	-23851.4	43.905	62.1352
7.49322	1.33856	8031.35	-24537.7	43.905	58.8377
5.69724	1.4182	8509.2	-23879.3	43.905	62.3391
7.59299	1.34187	8051.22	-24557.6	43.905	58.983
5.79702	1.42257	8535.4	-23905.5	43.905	62.5301
7.69277	1.34391	8063.47	-24569.8	43.905	59.0728
5.89679	1.42637	8558.19	-23928.3	43.905	62.6964
7.79255	1.34485	8069.11	-24575.5	43.905	59.1143
5.99657	1.42933	8575.97	-23946.1	43.905	62.8265
7.89232	1.34525	8071.49	-24577.8	43.905	59.1319
6.09635	1.43118	8587.1	-23957.2	43.905	62.9078
7.9921	1.34574	8074.43	-24580.8	43.905	59.1533
6.19612	1.43167	8590.01	-23960.1	43.905	62.9289
8.09188	1.34675	8080.49	-24586.8	43.905	59.1976
6.2959	1.43067	8584.02	-23954.1	43.905	62.8851
8.19165	1.34844	8090.63	-24597	43.905	59.2716
6.39568	1.42843	8570.6	-23940.7	43.905	62.7873
8.29143	1.35075	8104.51	-24610.9	43.905	59.3732
6.49545	1.42564	8553.85	-23923.9	43.905	62.6645
8.39121	1.35344	8120.67	-24627	43.905	59.491
6.59523	1.42325	8539.52	-23909.6	43.905	62.5597
