Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)	Number Density	Pressure
0.00997765	1.63078	9784.66	2.6485e+07	76.98	1252.93
0.109754	1.75946	10556.8	2.64842e+07	76.98	1258.73
0.209531	1.73555	10413.3	2.64843e+07	76.98	1264.78
0.309307	1.65169	9910.15	2.64849e+07	76.98	1253.51
0.409084	1.72872	10372.3	2.64844e+07	76.98	1255.41
0.50886	1.76434	10586	2.64842e+07	76.98	1259.21
0.608637	1.5803	9481.79	2.64854e+07	76.98	1247.67
0.708413	1.60745	9644.7	2.64851e+07	76.98	1250.98
0.80819	1.63773	9826.41	2.6485e+07	76.98	1245.22
0.907966	1.63477	9808.62	2.64849e+07	76.98	1255.91
1.00774	1.55794	9347.67	2.64855e+07	76.98	1247.06
1.10752	1.67548	10052.9	2.64847e+07	76.98	1256.74
1.2073	1.7518	10510.8	2.64842e+07	76.98	1253.06
1.30707	1.5927	9556.2	2.64852e+07	76.98	1247.69
1.40685	1.65649	9938.96	2.64848e+07	76.98	1256.94
1.50663	1.72246	10334.8	2.64844e+07	76.98	1252.59
1.6064	1.69308	10158.5	2.64846e+07	76.98	1252.82
1.70618	1.73609	10416.5	2.64843e+07	76.98	1260.88
1.80596	1.67434	10046	2.64847e+07	76.98	1255.14
1.90573	1.63469	9808.11	2.6485e+07	76.98	1243.64
2.00551	1.65339	9920.31	2.64848e+07	76.98	1253.75
2.10528	1.62441	9746.43	2.64851e+07	76.98	1245.18
2.20506	1.72449	10346.9	2.64843e+07	76.98	1259.52
2.30484	1.58193	9491.56	2.64853e+07	76.98	1248.37
2.40461	1.69371	10162.3	2.64846e+07	76.98	1261.92
2.50439	1.76779	10606.8	2.64841e+07	76.98	1261.2
2.60417	1.76226	10573.6	2.64841e+07	76.98	1257.92
2.70394	1.59452	9567.13	2.64852e+07	76.98	1247.22
2.80372	1.67732	10063.9	2.64847e+07	76.98	1258.06
2.9035	1.66642	9998.53	2.64848e+07	76.98	1251.95
3.00327	1.7271	10362.6	2.64844e+07	76.98	1253.08
3.10305	1.70979	10258.8	2.64845e+07	76.98	1258.95
3.20283	1.52831	9169.89	2.64857e+07	76.98	1246.31
3.3026	1.77008	10620.5	2.64841e+07	76.98	1261.83
3.40238	1.70664	10239.8	2.64845e+07	76.98	1255.31
3.50216	1.64026	9841.58	2.64849e+07	76.98	1247.88
3.60193	1.79136	10748.2	2.64839e+07	76.98	1262.8
3.70171	1.63107	9786.39	2.6485e+07	76.98	1246.42
3.80149	1.57252	9435.13	2.64853e+07	76.98	1252.6
3.90126	1.58717	9523.01	2.64853e+07	76.98	1244.18
4.00104	1.74335	10460.1	2.64843e+07	76.98	1255.97
4.10082	1.73512	10410.7	2.64843e+07	76.98	1261.32
4.20059	1.60803	9648.19	2.64851e+07	76.98	1253.01
4.30037	1.58852	9531.12	2.64853e+07	76.98	1244.86
4.40015	1.63193	9791.59	2.6485e+07	76.98	1243.48
4.49992	1.66548	9992.91	2.64848e+07	76.98	1253.72
4.5997	1.7877	10726.2	2.64839e+07	76.98	1269.45
4.69947	1.67742	10064.5	2.64847e+07	76.98	1255.82
4.79925	1.70234	10214.1	2.64846e+07	76.98	1248.05
4.89903	1.75243	10514.6	2.64842e+07	76.98	1266.97
4.9988	1.67615	10056.9	2.64848e+07	76.98	1255.8
5.09858	1.71876	10312.6	2.64844e+07	76.98	1259.25
5.19836	1.67605	10056.3	2.64847e+07	76.98	1251.99
5.29813	1.63667	9819.99	2.6485e+07	76.98	1254.58
5.39791	1.6961	10176.6	2.64846e+07	76.98	1254.93
5.49769	1.74608	10476.5	2.64842e+07	76.98	1255.51
5.59746	1.68818	10129.1	2.64847e+07	76.98	1250.83
5.69724	1.72429	10345.7	2.64844e+07	76.98	1259.32
5.79702	1.71967	10318	2.64844e+07	76.98	1253.44
5.89679	1.60731	9643.89	2.64852e+07	76.98	1246.63
5.99657	1.69126	10147.6	2.64846e+07	76.98	1267.94
6.09635	1.78341	10700.4	2.6484e+07	76.98	1260.15
6.19612	1.62824	9769.44	2.6485e+07	76.98	1243.18
6.2959	1.56202	9372.1	2.64854e+07	76.98	1248.81
6.39568	1.66916	10015	2.64847e+07	76.98	1252.55
6.49545	1.73943	10436.6	2.64843e+07	76.98	1264.39
6.59523	1.59408	9564.5	2.64852e+07	76.98	1237.62
6.69501	1.72412	10344.7	2.64844e+07	76.98	1264.25
6.79478	1.67688	10061.3	2.64847e+07	76.98	1257.49
6.89456	1.69712	10182.7	2.64846e+07	76.98	1260.46
6.99434	1.70163	10209.8	2.64845e+07	76.98	1249.1
7.09411	1.68584	10115	2.64846e+07	76.98	1253.78
7.19389	1.63842	9830.53	2.6485e+07	76.98	1253.22
7.29366	1.70677	10240.6	2.64845e+07	76.98	1258.94
7.39344	1.65687	9941.21	2.64849e+07	76.98	1254.58
7.49322	1.68055	10083.3	2.64847e+07	76.98	1259.47
7.59299	1.66811	10008.7	2.64848e+07	76.98	1251.55
7.69277	1.71747	10304.8	2.64844e+07	76.98	1256.86
7.79255	1.64763	9885.78	2.64849e+07	76.98	1253.73
7.89232	1.64165	9849.93	2.64849e+07	76.98	1250.1
7.9921	1.73632	10417.9	2.64843e+07	76.98	1255
8.09188	1.70623	10237.4	2.64845e+07	76.98	1253.35
8.19165	1.7042	10225.2	2.64845e+07	76.98	1257.82
8.29143	1.72008	10320.5	2.64844e+07	76.98	1253.98
8.39121	1.66925	10015.5	2.64847e+07	76.98	1247.99
8.49098	1.67382	10042.9	2.64847e+07	76.98	1251.83
8.59076	1.63419	9805.17	2.6485e+07	76.98	1257.49
8.69054	1.67935	10076.1	2.64847e+07	76.98	1246.2
8.79031	1.67016	10020.9	2.64847e+07	76.98	1248.72
8.89009	1.72382	10342.9	2.64844e+07	76.98	1252.56
8.98987	1.69933	10196	2.64846e+07	76.98	1259.24
9.08964	1.68342	10100.5	2.64846e+07	76.98	1257.58
9.18942	1.67576	10054.5	2.64847e+07	76.98	1254.48
9.2892	1.6866	10119.6	2.64846e+07	76.98	1254.4
9.38897	1.70818	10249.1	2.64845e+07	76.98	1256.32
9.48875	1.6419	9851.41	2.64849e+07	76.98	1249.57
9.58853	1.69354	10161.2	2.64846e+07	76.98	1257.92
9.6883	1.64553	9873.15	2.64849e+07	76.98	1249.37
9.78808	1.6301	9780.62	2.6485e+07	76.98	1245.51
9.88785	1.71542	10292.5	2.64844e+07	76.98	1250.6
