Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)	Number Density	Pressure
0.00997765	5.67862	34071.7	2.65127e+07	76.98	1577.09
0.109754	6.09828	36589.7	2.65102e+07	76.98	1609.85
0.209531	6.03921	36235.3	2.65104e+07	76.98	1608.69
0.309307	5.77276	34636.6	2.65124e+07	76.98	1592.37
0.409084	6.12231	36733.8	2.651e+07	76.98	1607.52
0.50886	6.21265	37275.9	2.65095e+07	76.98	1617.12
0.608637	5.55196	33311.8	2.65138e+07	76.98	1571.06
0.708413	5.47747	32864.8	2.65139e+07	76.98	1566.79
0.80819	5.71134	34268	2.65126e+07	76.98	1572.09
0.907966	5.56311	33378.7	2.65135e+07	76.98	1570.79
1.00774	5.48903	32934.2	2.65141e+07	76.98	1566.19
1.10752	5.87932	35275.9	2.65116e+07	76.98	1594.94
1.2073	6.03335	36200.1	2.65106e+07	76.98	1602.72
1.30707	5.69985	34199.1	2.65127e+07	76.98	1573.82
1.40685	5.84473	35068.4	2.65118e+07	76.98	1594.61
1.50663	5.98522	35911.3	2.65109e+07	76.98	1600.54
1.6064	5.89355	35361.3	2.65114e+07	76.98	1589.53
1.70618	6.04586	36275.2	2.65105e+07	76.98	1603.78
1.80596	5.93286	35597.2	2.65112e+07	76.98	1599.95
1.90573	5.71236	34274.2	2.65128e+07	76.98	1575.66
2.00551	5.71058	34263.5	2.65125e+07	76.98	1582.28
2.10528	5.70259	34215.5	2.65129e+07	76.98	1577.49
2.20506	5.91672	35500.3	2.65112e+07	76.98	1592.29
2.30484	5.60035	33602.1	2.65133e+07	76.98	1569.79
2.40461	5.80034	34802	2.6512e+07	76.98	1595.25
2.50439	6.11045	36662.7	2.65101e+07	76.98	1616.93
2.60417	6.17148	37028.9	2.65097e+07	76.98	1608.99
2.70394	5.62336	33740.2	2.65133e+07	76.98	1567.34
2.80372	5.92559	35553.5	2.65111e+07	76.98	1601.71
2.9035	5.75495	34529.7	2.65124e+07	76.98	1586.71
3.00327	5.94232	35653.9	2.65111e+07	76.98	1591.62
3.10305	5.91993	35519.6	2.65112e+07	76.98	1594.05
3.20283	5.30551	31833.1	2.65154e+07	76.98	1551.56
3.3026	6.06184	36371	2.65104e+07	76.98	1612.24
3.40238	5.99827	35989.6	2.65108e+07	76.98	1605.17
3.50216	5.83807	35028.4	2.65118e+07	76.98	1584.14
3.60193	6.17494	37049.7	2.65096e+07	76.98	1612.89
3.70171	5.69675	34180.5	2.65128e+07	76.98	1573.67
3.80149	5.44764	32685.8	2.65141e+07	76.98	1567.42
3.90126	5.68792	34127.5	2.6513e+07	76.98	1574.89
4.00104	5.95619	35737.1	2.65111e+07	76.98	1594.51
4.10082	6.10501	36630.1	2.65101e+07	76.98	1610.45
4.20059	5.7397	34438.2	2.65125e+07	76.98	1583.16
4.30037	5.57978	33478.7	2.65135e+07	76.98	1573.26
4.40015	5.76893	34613.6	2.65123e+07	76.98	1574.73
4.49992	5.7125	34275	2.65127e+07	76.98	1576.85
4.5997	6.09161	36549.6	2.65101e+07	76.98	1616.72
4.69947	5.88394	35303.6	2.65115e+07	76.98	1595.79
4.79925	5.80377	34822.6	2.65122e+07	76.98	1578.45
4.89903	6.19149	37148.9	2.65095e+07	76.98	1615.73
4.9988	5.93706	35622.4	2.65113e+07	76.98	1603.94
5.09858	5.90347	35420.8	2.65113e+07	76.98	1597.55
5.19836	5.79888	34793.3	2.6512e+07	76.98	1582.34
5.29813	5.73777	34426.6	2.65124e+07	76.98	1582.34
5.39791	5.86306	35178.3	2.65117e+07	76.98	1590.41
5.49769	6.1073	36643.8	2.65101e+07	76.98	1606.94
5.59746	5.97751	35865	2.6511e+07	76.98	1599.08
5.69724	5.97178	35830.7	2.6511e+07	76.98	1598.35
5.79702	6.02109	36126.6	2.65106e+07	76.98	1599.87
5.89679	5.64593	33875.6	2.65131e+07	76.98	1569.13
5.99657	5.85066	35104	2.65119e+07	76.98	1600.62
6.09635	6.06323	36379.4	2.65103e+07	76.98	1607.37
6.19612	5.83718	35023.1	2.65118e+07	76.98	1580.47
6.2959	5.5332	33199.2	2.65138e+07	76.98	1567.57
6.39568	5.73424	34405.4	2.65125e+07	76.98	1583.55
6.49545	6.0329	36197.4	2.65105e+07	76.98	1613.06
6.59523	5.6045	33627	2.65133e+07	76.98	1563.16
