Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)

0.00997765	291.74	1827.41	-22027.9
0.109754	275.291	1724.37	-21928.4
0.209531	237.164	1485.55	-21682.2
0.309307	185.704	1163.21	-21345.5
0.409084	133.746	837.76	-21028.4
0.50886	94.8987	594.427	-20756.7
0.608637	76.5272	479.352	-20638.2
0.708413	76.9818	482.199	-20656.5
0.80819	89.2087	558.787	-20722.6
0.907966	105.297	659.561	-20840.6
1.00774	119.601	749.156	-20938.9
1.10752	129.357	810.269	-20966
1.2073	134.259	840.974	-20997.9
1.30707	136.08	852.377	-20990.7
1.40685	137.181	859.276	-21013.2
1.50663	139.449	873.481	-21033.4
1.6064	144.503	905.142	-21069
1.70618	152.18	953.225	-21121.7
1.80596	160.81	1007.29	-21152.2
1.90573	168.056	1052.67	-21192.1
2.00551	172.057	1077.73	-21202.3
2.10528	172.429	1080.06	-21213.2
2.20506	169.017	1058.69	-21199
2.30484	162.706	1019.16	-21142.7
2.40461	155.435	973.617	-21126.4
2.50439	150.216	940.925	-21074.3
2.60417	149.411	935.882	-21056.3
2.70394	152.508	955.283	-21124.4
2.80372	157.599	987.167	-21166.9
2.9035	161.678	1012.72	-21157.1
3.00327	162.814	1019.84	-21174.2
3.10305	161.338	1010.59	-21154.4
3.20283	157.915	989.148	-21122
3.3026	153.607	962.162	-21096.2
3.40238	149.528	936.614	-21062.7
3.50216	146.378	916.886	-21050.4
3.60193	144.591	905.693	-21040.8
3.70171	144.278	903.73	-21038.3
3.80149	145.505	911.414	-21045.4
3.90126	148.693	931.387	-21049.4
4.00104	153.068	958.791	-21075.1
4.10082	157.559	986.923	-21116
4.20059	161.331	1010.55	-21144
4.30037	162.845	1020.03	-21145.7
4.40015	161.562	1011.99	-21128
4.49992	158.389	992.117	-21064.3
4.5997	155.184	972.044	-21046.7
4.69947	153.454	961.204	-21069.1
4.79925	153.921	964.134	-21081.3
4.89903	155.938	976.767	-21051.9
4.9988	158.516	992.912	-21089.8
5.09858	160.617	1006.07	-21090.8
5.19836	161.11	1009.17	-21101.8
5.29813	159.919	1001.7	-21091.5
5.39791	157.831	988.621	-21034.8
5.49769	156.177	978.264	-21019.1
5.59746	157.019	983.536	-21039.2
5.69724	159.974	1002.05	-21071.3
5.79702	163.441	1023.76	-21083.2
5.89679	166.327	1041.84	-21114.1
5.99657	167.731	1050.64	-21095.5
6.09635	167.12	1046.81	-21079.2
6.19612	164.6	1031.02	-21069.6
6.2959	161.496	1011.58	-21046.7
6.39568	159.171	997.016	-21080.8
6.49545	158.23	991.125	-21057.3
6.59523	159.487	998.995	-21074.9
6.69501	162.287	1016.54	-21073
6.79478	165.508	1036.71	-21084.1
6.89456	167.747	1050.74	-21070.6
6.99434	168.084	1052.84	-21044.9
